Period,Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2010-2014,XLF,-3.0,5,29,2.13,0.27,1.86,65.52,10.28,-5.99,4.26,-1.91,0.969
2010-2014,XLF,-3.0,3,29,1.56,0.17,1.39,65.52,8.78,-4.31,3.2,-1.54,0.903
2010-2014,DIA,-2.0,5,31,1.79,0.28,1.51,74.19,7.38,-5.14,3.19,-2.25,0.668
2010-2014,XLE,-3.0,5,30,2.51,0.2,2.31,83.33,12.63,-5.06,3.73,-3.61,0.641
2010-2014,IWM,-3.0,5,28,2.05,0.32,1.73,67.86,12.1,-9.5,4.48,-3.08,0.562
2010-2014,SPY,-2.0,5,38,1.28,0.3,0.97,63.16,8.78,-6.38,3.14,-1.92,0.508
2010-2014,DIA,-2.0,3,31,0.84,0.17,0.68,64.52,7.13,-3.55,2.08,-1.41,0.478
2010-2014,DIA,-1.5,5,58,1.04,0.28,0.76,60.34,7.38,-5.14,2.82,-1.67,0.458
2010-2014,XLF,-2.5,5,43,1.33,0.27,1.06,55.81,10.28,-8.71,4.27,-2.38,0.445
2010-2014,QQQ,-2.5,5,26,1.4,0.38,1.02,69.23,9.39,-5.76,3.1,-2.45,0.416
2010-2014,IWM,-2.5,5,44,1.51,0.32,1.19,65.91,12.1,-9.5,3.85,-3.02,0.393
2010-2014,XLE,-3.0,3,30,1.01,0.12,0.88,56.67,9.54,-5.65,3.55,-2.32,0.382
2010-2014,IWM,-2.0,5,67,1.33,0.32,1.01,64.18,12.1,-9.5,3.65,-2.83,0.356
2010-2014,XLK,-2.0,5,44,1.14,0.3,0.84,61.36,8.58,-7.01,3.35,-2.37,0.355
2010-2014,QQQ,-2.0,3,45,0.82,0.23,0.59,60.0,7.07,-6.24,2.49,-1.69,0.35
2010-2014,XLV,-2.0,1,28,0.36,0.07,0.28,64.29,4.57,-2.02,1.0,-0.81,0.348
2010-2014,XLK,-2.0,3,44,0.78,0.18,0.6,59.09,6.62,-5.56,2.53,-1.75,0.344
2010-2014,IWM,-2.0,3,67,0.84,0.2,0.64,55.22,10.08,-7.89,3.16,-2.02,0.319
