Period,Transaction cost (%),Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2015-2019,0.0,SPY,-1.0,1,104,0.12,0.05,0.07,60.58,5.05,-4.21,1.0,-1.23,0.058
2015-2019,0.0,SPY,-1.0,3,104,0.47,0.14,0.32,62.5,6.41,-8.19,1.87,-1.87,0.173
2015-2019,0.0,SPY,-1.0,5,104,0.64,0.24,0.4,66.35,6.76,-7.7,2.07,-2.17,0.184
2015-2019,0.1,SPY,-1.0,1,104,0.02,0.05,-0.03,56.73,4.95,-4.31,0.96,-1.21,-0.023
2015-2019,0.1,SPY,-1.0,3,104,0.37,0.14,0.22,60.58,6.31,-8.29,1.83,-1.87,0.119
2015-2019,0.1,SPY,-1.0,5,104,0.54,0.24,0.3,66.35,6.66,-7.8,1.97,-2.27,0.132
2015-2019,0.25,SPY,-1.0,1,104,-0.13,0.05,-0.18,44.23,4.8,-4.46,1.05,-1.07,-0.167
2015-2019,0.25,SPY,-1.0,3,104,0.22,0.14,0.07,54.81,6.16,-8.44,1.86,-1.77,0.042
2015-2019,0.25,SPY,-1.0,5,104,0.39,0.24,0.15,62.5,6.51,-7.95,1.93,-2.18,0.068
2015-2019,0.5,SPY,-1.0,1,104,-0.38,0.05,-0.43,36.54,4.55,-4.71,1.0,-1.17,-0.365
2015-2019,0.5,SPY,-1.0,3,104,-0.03,0.14,-0.18,50.96,5.91,-8.69,1.74,-1.87,-0.094
2015-2019,0.5,SPY,-1.0,5,104,0.14,0.24,-0.1,57.69,6.26,-8.2,1.83,-2.17,-0.046
2015-2019,0.0,SPY,-1.5,1,56,0.1,0.05,0.05,57.14,5.05,-4.21,1.24,-1.43,0.034
2015-2019,0.0,SPY,-1.5,3,56,0.73,0.14,0.58,64.29,5.72,-8.19,2.12,-1.77,0.329
2015-2019,0.0,SPY,-1.5,5,56,0.99,0.24,0.75,67.86,6.76,-7.7,2.39,-1.99,0.376
2015-2019,0.1,SPY,-1.5,1,56,-0.0,0.05,-0.05,55.36,4.95,-4.31,1.18,-1.47,-0.035
2015-2019,0.1,SPY,-1.5,3,56,0.63,0.14,0.48,62.5,5.62,-8.29,2.08,-1.79,0.271
2015-2019,0.1,SPY,-1.5,5,56,0.89,0.24,0.65,67.86,6.66,-7.8,2.29,-2.09,0.31
2015-2019,0.25,SPY,-1.5,1,56,-0.15,0.05,-0.2,48.21,4.8,-4.46,1.19,-1.41,-0.143
2015-2019,0.25,SPY,-1.5,3,56,0.48,0.14,0.33,57.14,5.47,-8.44,2.12,-1.71,0.196
2015-2019,0.25,SPY,-1.5,5,56,0.74,0.24,0.5,67.86,6.51,-7.95,2.14,-2.24,0.222
2015-2019,0.5,SPY,-1.5,1,56,-0.4,0.05,-0.45,41.07,4.55,-4.71,1.12,-1.47,-0.307
2015-2019,0.5,SPY,-1.5,3,56,0.23,0.14,0.08,53.57,5.22,-8.69,2.0,-1.81,0.046
2015-2019,0.5,SPY,-1.5,5,56,0.49,0.24,0.25,64.29,6.26,-8.2,2.0,-2.25,0.11
2015-2019,0.0,SPY,-2.0,1,30,0.21,0.05,0.16,66.67,5.05,-4.21,1.44,-2.26,0.071
2015-2019,0.0,SPY,-2.0,3,30,0.84,0.14,0.7,60.0,5.72,-8.19,2.61,-1.81,0.384
2015-2019,0.0,SPY,-2.0,5,30,1.45,0.24,1.21,70.0,6.76,-5.06,2.69,-1.45,0.832
2015-2019,0.1,SPY,-2.0,1,30,0.11,0.05,0.06,63.33,4.95,-4.31,1.41,-2.15,0.028
2015-2019,0.1,SPY,-2.0,3,30,0.74,0.14,0.6,60.0,5.62,-8.29,2.51,-1.91,0.311
2015-2019,0.1,SPY,-2.0,5,30,1.35,0.24,1.11,70.0,6.66,-5.16,2.59,-1.55,0.714
2015-2019,0.25,SPY,-2.0,1,30,-0.04,0.05,-0.09,53.33,4.8,-4.46,1.51,-1.82,-0.049
2015-2019,0.25,SPY,-2.0,3,30,0.59,0.14,0.45,60.0,5.47,-8.44,2.36,-2.06,0.216
2015-2019,0.25,SPY,-2.0,5,30,1.2,0.24,0.96,70.0,6.51,-5.31,2.44,-1.7,0.563
2015-2019,0.5,SPY,-2.0,1,30,-0.29,0.05,-0.34,46.67,4.55,-4.71,1.46,-1.83,-0.186
2015-2019,0.5,SPY,-2.0,3,30,0.34,0.14,0.2,56.67,5.22,-8.69,2.24,-2.14,0.091
2015-2019,0.5,SPY,-2.0,5,30,0.95,0.24,0.71,70.0,6.26,-5.56,2.19,-1.95,0.363
2015-2019,0.0,SPY,-2.5,1,15,0.43,0.05,0.38,66.67,5.05,-4.21,1.6,-1.91,0.2
2015-2019,0.0,SPY,-2.5,3,15,1.36,0.14,1.21,66.67,5.72,-2.39,2.87,-1.67,0.729
2015-2019,0.0,SPY,-2.5,5,15,2.53,0.24,2.3,93.33,6.76,-1.77,2.84,-1.77,1.295
2015-2019,0.1,SPY,-2.5,1,15,0.33,0.05,0.28,60.0,4.95,-4.31,1.67,-1.68,0.167
2015-2019,0.1,SPY,-2.5,3,15,1.26,0.14,1.11,66.67,5.62,-2.49,2.77,-1.77,0.631
2015-2019,0.1,SPY,-2.5,5,15,2.43,0.24,2.2,93.33,6.66,-1.87,2.74,-1.87,1.172
2015-2019,0.25,SPY,-2.5,1,15,0.18,0.05,0.13,60.0,4.8,-4.46,1.52,-1.83,0.072
2015-2019,0.25,SPY,-2.5,3,15,1.11,0.14,0.96,66.67,5.47,-2.64,2.62,-1.92,0.503
2015-2019,0.25,SPY,-2.5,5,15,2.28,0.24,2.05,93.33,6.51,-2.02,2.59,-2.02,1.011
2015-2019,0.5,SPY,-2.5,1,15,-0.07,0.05,-0.12,53.33,4.55,-4.71,1.45,-1.82,-0.066
2015-2019,0.5,SPY,-2.5,3,15,0.86,0.14,0.71,60.0,5.22,-2.89,2.64,-1.82,0.393
2015-2019,0.5,SPY,-2.5,5,15,2.03,0.24,1.8,93.33,6.26,-2.27,2.34,-2.27,0.79
2015-2019,0.0,SPY,-3.0,1,9,-0.32,0.05,-0.37,44.44,1.97,-4.21,1.67,-1.91,-0.192
2015-2019,0.0,SPY,-3.0,3,9,0.58,0.14,0.43,44.44,5.16,-2.39,3.39,-1.67,0.261
2015-2019,0.0,SPY,-3.0,5,9,1.93,0.24,1.69,88.89,5.98,-1.77,2.39,-1.77,0.952
2015-2019,0.1,SPY,-3.0,1,9,-0.42,0.05,-0.47,44.44,1.87,-4.31,1.57,-2.01,-0.232
2015-2019,0.1,SPY,-3.0,3,9,0.48,0.14,0.33,44.44,5.06,-2.49,3.29,-1.77,0.189
2015-2019,0.1,SPY,-3.0,5,9,1.83,0.24,1.59,88.89,5.88,-1.87,2.29,-1.87,0.848
2015-2019,0.25,SPY,-3.0,1,9,-0.57,0.05,-0.62,44.44,1.72,-4.46,1.42,-2.16,-0.285
2015-2019,0.25,SPY,-3.0,3,9,0.33,0.14,0.18,44.44,4.91,-2.64,3.14,-1.92,0.096
2015-2019,0.25,SPY,-3.0,5,9,1.68,0.24,1.44,88.89,5.73,-2.02,2.14,-2.02,0.711
