Period,Ticker,Drop threshold,Number of big drop days,Average 1-day return,Benchmark average 1-day return,Edge vs benchmark 1-day return,1-day win rate,Best 1-day return,Worst 1-day return,Average 1-day winning trade,Average 1-day losing trade,Average 3-day return,Benchmark average 3-day return,Edge vs benchmark 3-day return,3-day win rate,Best 3-day return,Worst 3-day return,Average 3-day winning trade,Average 3-day losing trade,Average 5-day return,Benchmark average 5-day return,Edge vs benchmark 5-day return,5-day win rate,Best 5-day return,Worst 5-day return,Average 5-day winning trade,Average 5-day losing trade
2010-2014,SPY,-1.0%,139,0.15%,0.06%,0.09%,56.83%,4.65%,-3.23%,0.97%,-0.94%,0.46%,0.18%,0.27%,58.99%,7.42%,-5.33%,1.92%,-1.65%,0.65%,0.30%,0.35%,61.15%,8.78%,-7.29%,2.49%,-2.25%
2010-2014,SPY,-1.5%,73,0.21%,0.06%,0.15%,60.27%,4.65%,-3.23%,0.98%,-0.95%,0.24%,0.18%,0.06%,53.42%,7.42%,-5.33%,2.01%,-1.79%,0.51%,0.30%,0.20%,54.79%,8.78%,-6.38%,2.89%,-2.38%
2010-2014,SPY,-2.0%,38,0.13%,0.06%,0.07%,50.00%,4.65%,-3.23%,1.31%,-1.06%,0.53%,0.18%,0.35%,60.53%,7.42%,-5.33%,2.08%,-1.84%,1.28%,0.30%,0.97%,63.16%,8.78%,-6.38%,3.14%,-1.92%
2010-2014,SPY,-2.5%,20,0.39%,0.06%,0.33%,55.00%,4.65%,-3.23%,1.63%,-1.12%,1.44%,0.18%,1.26%,70.00%,7.42%,-4.31%,2.81%,-1.76%,2.33%,0.30%,2.03%,80.00%,8.78%,-6.38%,3.61%,-2.77%
2010-2014,SPY,-3.0%,11,0.63%,0.06%,0.57%,54.55%,4.65%,-1.63%,2.06%,-1.09%,1.66%,0.18%,1.47%,72.73%,7.42%,-2.31%,2.90%,-1.65%,2.59%,0.30%,2.29%,90.91%,7.45%,-2.44%,3.09%,-2.44%
2010-2014,QQQ,-1.0%,163,0.15%,0.07%,0.08%,53.99%,5.20%,-3.25%,1.15%,-1.04%,0.29%,0.23%,0.07%,53.99%,7.07%,-6.24%,2.02%,-1.76%,0.67%,0.38%,0.29%,61.35%,9.39%,-7.78%,2.43%,-2.18%
2010-2014,QQQ,-1.5%,96,0.10%,0.07%,0.03%,55.21%,5.20%,-3.25%,1.04%,-1.06%,0.40%,0.23%,0.18%,54.17%,7.07%,-6.24%,2.21%,-1.73%,0.52%,0.38%,0.15%,59.38%,9.39%,-7.78%,2.59%,-2.50%
2010-2014,QQQ,-2.0%,45,0.14%,0.07%,0.07%,55.56%,5.20%,-2.57%,1.21%,-1.19%,0.82%,0.23%,0.59%,60.00%,7.07%,-6.24%,2.49%,-1.69%,1.03%,0.38%,0.66%,60.00%,9.39%,-5.76%,3.12%,-2.09%
2010-2014,QQQ,-2.5%,26,0.07%,0.07%,-0.00%,50.00%,4.82%,-2.57%,1.44%,-1.30%,0.97%,0.23%,0.74%,69.23%,6.88%,-6.24%,2.49%,-2.45%,1.40%,0.38%,1.02%,69.23%,9.39%,-5.76%,3.10%,-2.45%
2010-2014,QQQ,-3.0%,12,0.12%,0.07%,0.04%,33.33%,4.82%,-2.49%,2.85%,-1.25%,0.74%,0.23%,0.52%,58.33%,6.88%,-6.24%,3.17%,-2.66%,1.83%,0.38%,1.46%,83.33%,7.45%,-1.98%,2.55%,-1.72%
2010-2014,IWM,-1.0%,231,0.06%,0.07%,-0.00%,52.81%,6.66%,-8.71%,1.25%,-1.27%,0.38%,0.20%,0.18%,54.11%,10.67%,-7.89%,2.41%,-2.01%,0.66%,0.32%,0.33%,58.87%,12.10%,-9.50%,2.84%,-2.47%
2010-2014,IWM,-1.5%,129,0.09%,0.07%,0.03%,53.49%,6.66%,-8.71%,1.37%,-1.38%,0.50%,0.20%,0.30%,56.59%,10.08%,-7.89%,2.71%,-2.38%,0.99%,0.32%,0.67%,62.02%,12.10%,-9.50%,3.26%,-2.71%
2010-2014,IWM,-2.0%,67,0.30%,0.07%,0.23%,52.24%,6.66%,-5.15%,1.81%,-1.36%,0.84%,0.20%,0.64%,55.22%,10.08%,-7.89%,3.16%,-2.02%,1.33%,0.32%,1.01%,64.18%,12.10%,-9.50%,3.65%,-2.83%
2010-2014,IWM,-2.5%,44,0.37%,0.07%,0.31%,52.27%,6.66%,-5.15%,2.13%,-1.54%,0.77%,0.20%,0.58%,54.55%,10.08%,-7.89%,3.44%,-2.42%,1.51%,0.32%,1.19%,65.91%,12.10%,-9.50%,3.85%,-3.02%
2010-2014,IWM,-3.0%,28,0.53%,0.07%,0.47%,53.57%,6.66%,-5.15%,2.45%,-1.68%,0.48%,0.20%,0.29%,60.71%,10.08%,-7.89%,3.00%,-3.40%,2.05%,0.32%,1.73%,67.86%,12.10%,-9.50%,4.48%,-3.08%
2010-2014,DIA,-1.0%,115,0.13%,0.06%,0.07%,56.52%,4.07%,-3.50%,0.88%,-0.85%,0.35%,0.17%,0.18%,56.52%,7.13%,-5.10%,1.84%,-1.59%,0.52%,0.28%,0.24%,57.39%,7.38%,-6.47%,2.47%,-2.10%
2010-2014,DIA,-1.5%,58,0.16%,0.06%,0.10%,56.90%,3.98%,-3.50%,0.99%,-0.93%,0.51%,0.17%,0.34%,58.62%,7.13%,-5.10%,1.93%,-1.50%,1.04%,0.28%,0.76%,60.34%,7.38%,-5.14%,2.82%,-1.67%
2010-2014,DIA,-2.0%,31,-0.05%,0.06%,-0.11%,51.61%,3.98%,-3.50%,1.09%,-1.28%,0.84%,0.17%,0.68%,64.52%,7.13%,-3.55%,2.08%,-1.41%,1.79%,0.28%,1.51%,74.19%,7.38%,-5.14%,3.19%,-2.25%
2010-2014,DIA,-2.5%,14,0.24%,0.06%,0.19%,64.29%,3.98%,-3.50%,1.34%,-1.74%,1.41%,0.17%,1.24%,64.29%,7.13%,-1.88%,2.67%,-0.85%,2.50%,0.28%,2.23%,85.71%,6.62%,-2.16%,3.19%,-1.59%
2010-2014,DIA,-3.0%,9,0.73%,0.06%,0.67%,66.67%,3.98%,-1.59%,1.79%,-1.39%,2.12%,0.17%,1.95%,66.67%,7.13%,-1.18%,3.47%,-0.58%,2.77%,0.28%,2.49%,88.89%,6.62%,-2.16%,3.39%,-2.16%
2010-2014,XLK,-1.0%,158,0.04%,0.06%,-0.02%,51.90%,4.60%,-3.48%,0.98%,-0.99%,0.20%,0.18%,0.02%,52.53%,6.62%,-5.56%,1.91%,-1.72%,0.40%,0.30%,0.11%,56.96%,8.58%,-7.01%,2.35%,-2.21%
2010-2014,XLK,-1.5%,82,0.09%,0.06%,0.03%,52.44%,4.60%,-2.77%,1.05%,-0.97%,0.27%,0.18%,0.09%,53.66%,6.62%,-5.56%,2.11%,-1.86%,0.38%,0.30%,0.08%,53.66%,8.58%,-7.01%,2.69%,-2.30%
2010-2014,XLK,-2.0%,44,0.21%,0.06%,0.15%,54.55%,4.60%,-2.43%,1.31%,-1.10%,0.78%,0.18%,0.60%,59.09%,6.62%,-5.56%,2.53%,-1.75%,1.14%,0.30%,0.84%,61.36%,8.58%,-7.01%,3.35%,-2.37%
2010-2014,XLK,-2.5%,20,0.07%,0.06%,0.01%,50.00%,4.57%,-2.43%,1.52%,-1.39%,0.86%,0.18%,0.68%,65.00%,6.42%,-5.56%,2.40%,-2.00%,1.53%,0.30%,1.23%,70.00%,6.93%,-3.23%,3.09%,-2.10%
2010-2014,XLK,-3.0%,11,0.29%,0.06%,0.23%,54.55%,4.57%,-2.43%,1.90%,-1.65%,1.35%,0.18%,1.17%,63.64%,6.42%,-2.08%,2.94%,-1.44%,1.80%,0.30%,1.50%,81.82%,6.93%,-3.23%,2.80%,-2.70%
2010-2014,XLF,-1.0%,196,0.26%,0.06%,0.20%,59.69%,7.73%,-9.46%,1.37%,-1.40%,0.41%,0.17%,0.24%,57.14%,8.78%,-9.23%,2.30%,-2.15%,0.72%,0.27%,0.44%,59.69%,11.02%,-9.58%,2.81%,-2.43%
2010-2014,XLF,-1.5%,126,0.26%,0.06%,0.20%,58.73%,7.73%,-9.46%,1.54%,-1.56%,0.28%,0.17%,0.11%,52.38%,8.78%,-9.23%,2.57%,-2.24%,0.55%,0.27%,0.27%,57.14%,10.28%,-9.58%,3.07%,-2.81%
2010-2014,XLF,-2.0%,80,0.30%,0.06%,0.24%,58.75%,7.73%,-4.74%,1.59%,-1.53%,0.43%,0.17%,0.26%,52.50%,8.78%,-7.96%,2.91%,-2.32%,0.70%,0.27%,0.43%,56.25%,10.28%,-8.71%,3.57%,-2.99%
2010-2014,XLF,-2.5%,43,0.49%,0.06%,0.43%,58.14%,7.73%,-4.74%,2.02%,-1.65%,0.84%,0.17%,0.68%,58.14%,8.78%,-7.96%,3.46%,-2.79%,1.33%,0.27%,1.06%,55.81%,10.28%,-8.71%,4.27%,-2.38%
2010-2014,XLF,-3.0%,29,0.57%,0.06%,0.52%,51.72%,7.73%,-4.74%,2.78%,-1.79%,1.56%,0.17%,1.39%,65.52%,8.78%,-4.31%,3.20%,-1.54%,2.13%,0.27%,1.86%,65.52%,10.28%,-5.99%,4.26%,-1.91%
2010-2014,XLE,-1.0%,218,0.05%,0.04%,0.01%,51.83%,5.19%,-6.42%,1.32%,-1.32%,0.17%,0.12%,0.05%,52.75%,9.54%,-10.13%,2.45%,-2.38%,0.47%,0.20%,0.27%,55.96%,12.63%,-11.80%,3.09%,-2.86%
2010-2014,XLE,-1.5%,137,0.13%,0.04%,0.09%,52.55%,5.19%,-5.64%,1.40%,-1.28%,0.37%,0.12%,0.25%,55.47%,9.54%,-10.13%,2.71%,-2.54%,0.71%,0.20%,0.51%,60.58%,12.63%,-11.80%,3.23%,-3.16%
2010-2014,XLE,-2.0%,72,0.15%,0.04%,0.11%,50.00%,5.19%,-5.64%,1.43%,-1.13%,0.40%,0.12%,0.28%,50.00%,9.54%,-8.27%,3.05%,-2.24%,0.77%,0.20%,0.57%,61.11%,12.63%,-11.80%,3.26%,-3.14%
2010-2014,XLE,-2.5%,43,0.07%,0.04%,0.03%,46.51%,5.19%,-5.64%,1.79%,-1.42%,0.24%,0.12%,0.12%,46.51%,9.54%,-8.27%,3.37%,-2.48%,1.27%,0.20%,1.07%,69.77%,12.63%,-11.80%,3.50%,-3.89%
2010-2014,XLE,-3.0%,30,0.39%,0.04%,0.35%,56.67%,5.19%,-5.64%,1.90%,-1.58%,1.01%,0.12%,0.88%,56.67%,9.54%,-5.65%,3.55%,-2.32%,2.51%,0.20%,2.31%,83.33%,12.63%,-5.06%,3.73%,-3.61%
2010-2014,XLV,-1.0%,127,0.11%,0.07%,0.04%,59.06%,4.57%,-3.18%,0.82%,-0.91%,0.36%,0.22%,0.14%,54.33%,7.38%,-5.87%,1.69%,-1.22%,0.53%,0.37%,0.16%,67.72%,7.38%,-10.02%,1.86%,-2.27%
2010-2014,XLV,-1.5%,65,0.15%,0.07%,0.08%,61.54%,4.57%,-2.57%,0.86%,-0.98%,0.10%,0.22%,-0.12%,43.08%,7.38%,-5.87%,1.97%,-1.31%,0.27%,0.37%,-0.09%,58.46%,7.38%,-10.02%,2.06%,-2.24%
2010-2014,XLV,-2.0%,28,0.36%,0.07%,0.28%,64.29%,4.57%,-2.02%,1.00%,-0.81%,0.73%,0.22%,0.51%,53.57%,7.38%,-3.69%,2.49%,-1.30%,0.85%,0.37%,0.48%,64.29%,7.38%,-4.97%,2.25%,-1.67%
2010-2014,XLV,-2.5%,15,0.57%,0.07%,0.50%,60.00%,4.57%,-2.02%,1.50%,-0.81%,1.53%,0.22%,1.31%,66.67%,7.38%,-0.92%,2.55%,-0.51%,2.31%,0.37%,1.94%,86.67%,7.38%,-0.76%,2.77%,-0.68%
2010-2014,XLV,-3.0%,7,1.30%,0.07%,1.23%,71.43%,4.57%,-0.94%,2.06%,-0.60%,2.48%,0.22%,2.26%,71.43%,7.38%,-0.92%,3.75%,-0.67%,3.41%,0.37%,3.05%,85.71%,7.38%,-0.76%,4.11%,-0.76%
