Ticker,Drop threshold (%),Holding period,Appeared in 2010-2014,Rank in 2010-2014,Risk-adjusted score 2010-2014,Edge 2010-2014 (%),Appeared in 2015-2019,Rank in 2015-2019,Risk-adjusted score 2015-2019,Edge 2015-2019 (%),Appeared in 2020-2024,Rank in 2020-2024,Risk-adjusted score 2020-2024,Edge 2020-2024 (%),Total appearances,Average rank when present,Average risk-adjusted score when present,Average edge when present (%),Average win rate when present (%),Average event count when present,Average worst return when present (%)
SPY,-2.0,5,Yes,6,0.508,0.97,Yes,3,0.832,1.21,No,,,,2,4.5,0.67,1.09,66.58,34.0,-5.72
QQQ,-2.5,5,Yes,10,0.416,1.02,Yes,1,1.525,1.58,No,,,,2,5.5,0.97,1.3,70.98,29.5,-4.16
XLF,-2.5,5,Yes,9,0.445,1.06,Yes,5,0.527,1.02,No,,,,2,7.0,0.486,1.04,63.09,35.0,-6.86
XLF,-3.0,5,Yes,1,0.969,1.86,No,,,,No,,,,1,1.0,0.969,1.86,65.52,29.0,-5.99
DIA,-2.5,1,No,,,,No,,,,Yes,1,0.418,0.84,1,1.0,0.418,0.84,61.29,31.0,-10.06
XLK,-2.5,5,No,,,,Yes,2,1.042,1.5,No,,,,1,2.0,1.042,1.5,73.33,30.0,-4.44
XLF,-3.0,3,Yes,2,0.903,1.39,No,,,,No,,,,1,2.0,0.903,1.39,65.52,29.0,-4.31
DIA,-2.0,1,No,,,,No,,,,Yes,2,0.363,0.57,1,2.0,0.363,0.57,57.78,45.0,-10.06
DIA,-2.0,5,Yes,3,0.668,1.51,No,,,,No,,,,1,3.0,0.668,1.51,74.19,31.0,-5.14
SPY,-2.0,1,No,,,,No,,,,Yes,3,0.34,0.46,1,3.0,0.34,0.46,55.17,58.0,-9.57
XLK,-2.5,3,No,,,,Yes,4,0.672,0.94,No,,,,1,4.0,0.672,0.94,60.0,30.0,-2.69
XLE,-3.0,5,Yes,4,0.641,2.31,No,,,,No,,,,1,4.0,0.641,2.31,83.33,30.0,-5.06
SPY,-2.5,1,No,,,,No,,,,Yes,4,0.319,0.54,1,4.0,0.319,0.54,56.76,37.0,-9.57
IWM,-3.0,5,Yes,5,0.562,1.73,No,,,,No,,,,1,5.0,0.562,1.73,67.86,28.0,-9.5
QQQ,-3.0,1,No,,,,No,,,,Yes,5,0.275,0.46,1,5.0,0.275,0.46,59.52,42.0,-9.17
XLK,-2.0,5,No,,,,Yes,6,0.413,0.95,No,,,,1,6.0,0.413,0.95,70.0,50.0,-8.43
QQQ,-2.5,1,No,,,,No,,,,Yes,6,0.263,0.36,1,6.0,0.263,0.36,57.97,69.0,-9.17
DIA,-2.0,3,Yes,7,0.478,0.68,No,,,,No,,,,1,7.0,0.478,0.68,64.52,31.0,-3.55
QQQ,-2.5,3,No,,,,Yes,7,0.412,0.82,No,,,,1,7.0,0.412,0.82,66.67,33.0,-8.4
XLV,-2.0,1,No,,,,No,,,,Yes,7,0.262,0.51,1,7.0,0.262,0.51,58.33,36.0,-7.47
DIA,-1.5,5,Yes,8,0.458,0.76,No,,,,No,,,,1,8.0,0.458,0.76,60.34,58.0,-5.14
SPY,-2.0,3,No,,,,Yes,8,0.384,0.7,No,,,,1,8.0,0.384,0.7,60.0,30.0,-8.19
XLK,-2.5,1,No,,,,No,,,,Yes,8,0.206,0.36,1,8.0,0.206,0.36,55.41,74.0,-9.76
XLK,-2.0,3,No,,,,Yes,9,0.384,0.66,No,,,,1,9.0,0.384,0.66,60.0,50.0,-8.34
XLK,-3.0,1,No,,,,No,,,,Yes,9,0.189,0.37,1,9.0,0.189,0.37,56.82,44.0,-9.76
SPY,-1.5,5,No,,,,Yes,10,0.376,0.75,No,,,,1,10.0,0.376,0.75,67.86,56.0,-7.7
XLV,-2.5,1,No,,,,No,,,,Yes,10,0.187,0.39,1,10.0,0.187,0.39,56.0,25.0,-7.47
