Setup,Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score,Source period,Rank in period,,,,
2015-2019QQQ -2.5% 5D,QQQ,-2.5,5,33,1.92,0.34,1.58,72.73,7.98,-2.57,3.03,-1.04,1.525,2015-2019,1,,,,
2015-2019XLK -2.5% 5D,XLK,-2.5,5,30,1.88,0.38,1.5,73.33,8.5,-4.44,3.08,-1.44,1.042,2015-2019,2,,,,
2010-2014XLF -3% 5D,XLF,-3,5,29,2.13,0.27,1.86,65.52,10.28,-5.99,4.26,-1.91,0.969,2010-2014,1,,,,
2010-2014XLF -3% 3D,XLF,-3,3,29,1.56,0.17,1.39,65.52,8.78,-4.31,3.2,-1.54,0.903,2010-2014,2,,,,
2015-2019SPY -2% 5D,SPY,-2,5,30,1.45,0.24,1.21,70,6.76,-5.06,2.69,-1.45,0.832,2015-2019,3,,,,
2015-2019XLK -2.5% 3D,XLK,-2.5,3,30,1.17,0.23,0.94,60,6.63,-2.69,2.88,-1.4,0.672,2015-2019,4,,,,
2010-2014DIA -2% 5D,DIA,-2,5,31,1.79,0.28,1.51,74.19,7.38,-5.14,3.19,-2.25,0.668,2010-2014,3,,,,
2010-2014XLE -3% 5D,XLE,-3,5,30,2.51,0.2,2.31,83.33,12.63,-5.06,3.73,-3.61,0.641,2010-2014,4,,,,
2010-2014IWM -3% 5D,IWM,-3,5,28,2.05,0.32,1.73,67.86,12.1,-9.5,4.48,-3.08,0.562,2010-2014,5,,,,
2015-2019XLF -2.5% 5D,XLF,-2.5,5,27,1.26,0.24,1.02,70.37,6.85,-5.01,2.6,-1.93,0.527,2015-2019,5,,,,
2010-2014SPY -2% 5D,SPY,-2,5,38,1.28,0.3,0.97,63.16,8.78,-6.38,3.14,-1.92,0.508,2010-2014,6,,,,
2010-2014DIA -2% 3D,DIA,-2,3,31,0.84,0.17,0.68,64.52,7.13,-3.55,2.08,-1.41,0.478,2010-2014,7,,,,
2010-2014DIA -1.5% 5D,DIA,-1.5,5,58,1.04,0.28,0.76,60.34,7.38,-5.14,2.82,-1.67,0.458,2010-2014,8,,,,
2010-2014XLF -2.5% 5D,XLF,-2.5,5,43,1.33,0.27,1.06,55.81,10.28,-8.71,4.27,-2.38,0.445,2010-2014,9,,,,
2020-2024DIA -2.5% 1D,DIA,-2.5,1,31,0.89,0.05,0.84,61.29,11.02,-10.06,2.72,-2.01,0.418,2020-2024,1,,,,
2010-2014QQQ -2.5% 5D,QQQ,-2.5,5,26,1.4,0.38,1.02,69.23,9.39,-5.76,3.1,-2.45,0.416,2010-2014,10,,,,
2015-2019XLK -2% 5D,XLK,-2,5,50,1.33,0.38,0.95,70,8.5,-8.43,2.89,-2.3,0.413,2015-2019,6,,,,
2015-2019QQQ -2.5% 3D,QQQ,-2.5,3,33,1.02,0.2,0.82,66.67,7.29,-8.4,2.52,-1.98,0.412,2015-2019,7,,,,
2015-2019SPY -2% 3D,SPY,-2,3,30,0.84,0.14,0.7,60,5.72,-8.19,2.61,-1.81,0.384,2015-2019,8,,,,
2015-2019XLK -2% 3D,XLK,-2,3,50,0.89,0.23,0.66,60,6.63,-8.34,2.63,-1.72,0.384,2015-2019,9,,,,
2015-2019SPY -1.5% 5D,SPY,-1.5,5,56,0.99,0.24,0.75,67.86,6.76,-7.7,2.39,-1.99,0.376,2015-2019,10,,,,
2020-2024DIA -2% 1D,DIA,-2,1,45,0.62,0.05,0.57,57.78,11.02,-10.06,2.23,-1.58,0.363,2020-2024,2,,,Row Labels,Average risk-adjusted score
2020-2024SPY -2% 1D,SPY,-2,1,58,0.52,0.06,0.46,55.17,9.06,-9.57,2.03,-1.34,0.34,2020-2024,3,,,2010-2014,0.6048
2020-2024SPY -2.5% 1D,SPY,-2.5,1,37,0.6,0.06,0.54,56.76,9.06,-9.57,2.34,-1.69,0.319,2020-2024,4,,,2015-2019,0.6567
2020-2024QQQ -3% 1D,QQQ,-3,1,42,0.55,0.08,0.46,59.52,8.47,-9.17,2.07,-1.69,0.275,2020-2024,5,,,2020-2024,0.2822
2020-2024QQQ -2.5% 1D,QQQ,-2.5,1,69,0.44,0.08,0.36,57.97,8.47,-9.17,1.75,-1.36,0.263,2020-2024,6,,,Grand Total,0.514566667
2020-2024XLV -2% 1D,XLV,-2,1,36,0.55,0.04,0.51,58.33,7.71,-7.47,2.35,-1.96,0.262,2020-2024,7,,,,
2020-2024XLK -2.5% 1D,XLK,-2.5,1,74,0.45,0.09,0.36,55.41,11.73,-9.76,2.19,-1.72,0.206,2020-2024,8,,,,
2020-2024XLK -3% 1D,XLK,-3,1,44,0.46,0.09,0.37,56.82,11.73,-9.76,2.3,-1.96,0.189,2020-2024,9,,,,
2020-2024XLV -2.5% 1D,XLV,-2.5,1,25,0.43,0.04,0.39,56,7.71,-7.47,2.39,-2.08,0.187,2020-2024,10,,,,
