Period,Ticker,Drop threshold,Number of big drop days,Average 1-day return,Benchmark average 1-day return,Edge vs benchmark 1-day return,1-day win rate,Best 1-day return,Worst 1-day return,Average 1-day winning trade,Average 1-day losing trade,Average 3-day return,Benchmark average 3-day return,Edge vs benchmark 3-day return,3-day win rate,Best 3-day return,Worst 3-day return,Average 3-day winning trade,Average 3-day losing trade,Average 5-day return,Benchmark average 5-day return,Edge vs benchmark 5-day return,5-day win rate,Best 5-day return,Worst 5-day return,Average 5-day winning trade,Average 5-day losing trade
2015-2019,SPY,-1.0%,104,0.12%,0.05%,0.07%,60.58%,5.05%,-4.21%,1.00%,-1.23%,0.47%,0.14%,0.32%,62.50%,6.41%,-8.19%,1.87%,-1.87%,0.64%,0.24%,0.40%,66.35%,6.76%,-7.70%,2.07%,-2.17%
2015-2019,SPY,-1.5%,56,0.10%,0.05%,0.05%,57.14%,5.05%,-4.21%,1.24%,-1.43%,0.73%,0.14%,0.58%,64.29%,5.72%,-8.19%,2.12%,-1.77%,0.99%,0.24%,0.75%,67.86%,6.76%,-7.70%,2.39%,-1.99%
2015-2019,SPY,-2.0%,30,0.21%,0.05%,0.16%,66.67%,5.05%,-4.21%,1.44%,-2.26%,0.84%,0.14%,0.70%,60.00%,5.72%,-8.19%,2.61%,-1.81%,1.45%,0.24%,1.21%,70.00%,6.76%,-5.06%,2.69%,-1.45%
2015-2019,SPY,-2.5%,15,0.43%,0.05%,0.38%,66.67%,5.05%,-4.21%,1.60%,-1.91%,1.36%,0.14%,1.21%,66.67%,5.72%,-2.39%,2.87%,-1.67%,2.53%,0.24%,2.30%,93.33%,6.76%,-1.77%,2.84%,-1.77%
2015-2019,SPY,-3.0%,9,-0.32%,0.05%,-0.37%,44.44%,1.97%,-4.21%,1.67%,-1.91%,0.58%,0.14%,0.43%,44.44%,5.16%,-2.39%,3.39%,-1.67%,1.93%,0.24%,1.69%,88.89%,5.98%,-1.77%,2.39%,-1.77%
2015-2019,QQQ,-1.0%,148,0.14%,0.07%,0.08%,55.41%,6.24%,-4.37%,1.20%,-1.17%,0.47%,0.20%,0.27%,55.41%,7.29%,-8.40%,2.14%,-1.61%,0.84%,0.34%,0.50%,66.22%,7.98%,-8.59%,2.36%,-2.15%
2015-2019,QQQ,-1.5%,88,0.23%,0.07%,0.16%,55.68%,6.24%,-4.37%,1.34%,-1.16%,0.65%,0.20%,0.44%,57.95%,7.29%,-8.40%,2.47%,-1.86%,0.98%,0.34%,0.64%,62.50%,7.98%,-8.59%,2.82%,-2.08%
2015-2019,QQQ,-2.0%,54,0.29%,0.07%,0.23%,55.56%,6.24%,-4.37%,1.56%,-1.29%,0.73%,0.20%,0.52%,62.96%,7.29%,-8.40%,2.61%,-2.48%,1.04%,0.34%,0.70%,62.96%,7.98%,-8.59%,2.92%,-2.15%
2015-2019,QQQ,-2.5%,33,0.24%,0.07%,0.18%,54.55%,4.28%,-4.37%,1.74%,-1.56%,1.02%,0.20%,0.82%,66.67%,7.29%,-8.40%,2.52%,-1.98%,1.92%,0.34%,1.58%,72.73%,7.98%,-2.57%,3.03%,-1.04%
2015-2019,QQQ,-3.0%,22,0.36%,0.07%,0.29%,59.09%,4.28%,-3.85%,1.78%,-1.69%,1.23%,0.20%,1.02%,68.18%,7.29%,-2.95%,2.61%,-1.73%,2.08%,0.34%,1.74%,72.73%,7.98%,-2.57%,3.17%,-0.84%
2015-2019,IWM,-1.0%,166,-0.07%,0.04%,-0.11%,50.60%,4.81%,-3.90%,0.92%,-1.08%,0.06%,0.11%,-0.05%,55.42%,7.17%,-7.43%,1.65%,-1.91%,0.26%,0.19%,0.07%,58.43%,8.61%,-8.40%,2.21%,-2.49%
2015-2019,IWM,-1.5%,87,0.04%,0.04%,0.01%,52.87%,4.81%,-3.84%,1.05%,-1.09%,0.28%,0.11%,0.17%,60.92%,7.17%,-6.06%,1.80%,-2.08%,0.41%,0.19%,0.22%,60.92%,8.61%,-8.40%,2.37%,-2.64%
2015-2019,IWM,-2.0%,40,0.08%,0.04%,0.04%,57.50%,2.19%,-3.28%,1.04%,-1.22%,0.12%,0.11%,0.01%,60.00%,5.79%,-6.06%,1.77%,-2.34%,0.42%,0.19%,0.23%,60.00%,5.06%,-8.13%,2.26%,-2.34%
2015-2019,IWM,-2.5%,24,0.05%,0.04%,0.01%,58.33%,2.17%,-3.28%,1.07%,-1.38%,0.48%,0.11%,0.36%,66.67%,5.79%,-5.76%,1.83%,-2.23%,1.40%,0.19%,1.21%,79.17%,5.06%,-3.69%,2.30%,-2.01%
2015-2019,IWM,-3.0%,12,0.59%,0.04%,0.56%,75.00%,2.17%,-3.28%,1.27%,-1.42%,0.92%,0.11%,0.80%,66.67%,5.79%,-2.66%,2.18%,-1.62%,1.41%,0.19%,1.22%,83.33%,4.60%,-1.83%,2.02%,-1.63%
2015-2019,DIA,-1.0%,111,0.14%,0.05%,0.09%,63.06%,4.86%,-4.57%,0.97%,-1.28%,0.40%,0.15%,0.24%,60.36%,6.29%,-7.77%,1.77%,-1.69%,0.65%,0.25%,0.40%,65.77%,7.00%,-7.50%,2.04%,-2.02%
2015-2019,DIA,-1.5%,58,0.15%,0.05%,0.10%,65.52%,4.86%,-4.57%,1.11%,-1.66%,0.52%,0.15%,0.37%,63.79%,5.68%,-7.77%,1.96%,-2.02%,0.79%,0.25%,0.54%,67.24%,7.00%,-7.50%,2.18%,-2.05%
2015-2019,DIA,-2.0%,30,0.23%,0.05%,0.18%,66.67%,4.86%,-4.57%,1.33%,-1.99%,0.64%,0.15%,0.49%,53.33%,5.68%,-7.77%,2.66%,-1.66%,1.03%,0.25%,0.77%,70.00%,7.00%,-7.50%,2.52%,-2.46%
2015-2019,DIA,-2.5%,14,0.02%,0.05%,-0.03%,50.00%,4.86%,-4.57%,2.22%,-2.18%,1.20%,0.15%,1.05%,57.14%,5.68%,-2.42%,3.32%,-1.61%,2.00%,0.25%,1.74%,85.71%,7.00%,-5.06%,2.91%,-3.50%
2015-2019,DIA,-3.0%,8,-0.58%,0.05%,-0.63%,37.50%,2.34%,-3.67%,1.42%,-1.78%,0.76%,0.15%,0.60%,50.00%,5.10%,-2.40%,3.22%,-1.70%,2.14%,0.25%,1.89%,87.50%,5.79%,-1.93%,2.73%,-1.93%
2015-2019,XLK,-1.0%,144,0.18%,0.08%,0.11%,57.64%,6.04%,-4.18%,1.25%,-1.27%,0.47%,0.23%,0.25%,58.33%,6.63%,-8.34%,2.19%,-1.92%,0.92%,0.38%,0.54%,65.28%,8.98%,-8.43%,2.54%,-2.11%
2015-2019,XLK,-1.5%,93,0.13%,0.08%,0.06%,55.91%,6.04%,-4.18%,1.33%,-1.40%,0.71%,0.23%,0.48%,62.37%,6.63%,-8.34%,2.37%,-2.04%,1.10%,0.38%,0.72%,67.74%,8.98%,-8.43%,2.71%,-2.28%
2015-2019,XLK,-2.0%,50,0.25%,0.08%,0.17%,58.00%,6.04%,-4.18%,1.56%,-1.56%,0.89%,0.23%,0.66%,60.00%,6.63%,-8.34%,2.63%,-1.72%,1.33%,0.38%,0.95%,70.00%,8.50%,-8.43%,2.89%,-2.30%
2015-2019,XLK,-2.5%,30,0.38%,0.08%,0.31%,56.67%,6.04%,-4.18%,2.03%,-1.76%,1.17%,0.23%,0.94%,60.00%,6.63%,-2.69%,2.88%,-1.40%,1.88%,0.38%,1.50%,73.33%,8.50%,-4.44%,3.08%,-1.44%
2015-2019,XLK,-3.0%,19,0.44%,0.08%,0.36%,57.89%,4.43%,-3.94%,2.00%,-1.71%,1.71%,0.23%,1.48%,73.68%,6.63%,-2.65%,2.92%,-1.68%,2.65%,0.38%,2.27%,84.21%,8.50%,-2.63%,3.38%,-1.26%
2015-2019,XLF,-1.0%,148,0.20%,0.05%,0.15%,63.51%,4.53%,-5.04%,1.03%,-1.26%,0.40%,0.15%,0.25%,56.76%,7.32%,-8.93%,2.03%,-1.75%,0.70%,0.24%,0.46%,64.19%,7.66%,-5.97%,2.24%,-2.06%
2015-2019,XLF,-1.5%,84,0.24%,0.05%,0.19%,66.67%,4.53%,-5.04%,1.08%,-1.44%,0.60%,0.15%,0.45%,61.90%,7.32%,-8.93%,2.18%,-1.97%,0.92%,0.24%,0.67%,66.67%,7.66%,-5.97%,2.50%,-2.26%
2015-2019,XLF,-2.0%,48,0.16%,0.05%,0.11%,62.50%,4.53%,-5.04%,1.31%,-1.76%,0.62%,0.15%,0.47%,62.50%,7.32%,-8.93%,2.42%,-2.39%,0.97%,0.24%,0.73%,64.58%,7.66%,-5.72%,2.69%,-2.17%
2015-2019,XLF,-2.5%,27,0.25%,0.05%,0.20%,62.96%,4.22%,-4.27%,1.46%,-1.82%,0.84%,0.15%,0.69%,59.26%,7.32%,-4.62%,2.71%,-1.89%,1.26%,0.24%,1.02%,70.37%,6.85%,-5.01%,2.60%,-1.93%
2015-2019,XLF,-3.0%,15,0.07%,0.05%,0.02%,60.00%,4.22%,-4.27%,1.88%,-2.64%,0.93%,0.15%,0.79%,60.00%,7.32%,-4.62%,3.16%,-2.41%,1.52%,0.24%,1.28%,66.67%,6.85%,-5.01%,2.90%,-1.24%
2015-2019,XLE,-1.0%,241,0.04%,0.00%,0.04%,54.36%,6.22%,-5.37%,1.09%,-1.21%,0.21%,0.01%,0.20%,56.85%,11.03%,-10.74%,2.01%,-2.15%,0.27%,0.02%,0.25%,54.36%,10.55%,-10.85%,2.57%,-2.47%
2015-2019,XLE,-1.5%,136,-0.14%,0.00%,-0.14%,50.74%,6.22%,-5.37%,1.12%,-1.43%,0.11%,0.01%,0.10%,58.09%,6.99%,-10.74%,2.00%,-2.52%,0.09%,0.02%,0.07%,50.74%,10.55%,-10.85%,2.83%,-2.74%
2015-2019,XLE,-2.0%,84,-0.28%,0.00%,-0.28%,42.86%,6.22%,-5.37%,1.32%,-1.48%,-0.12%,0.01%,-0.13%,57.14%,6.99%,-10.74%,2.14%,-3.12%,0.26%,0.02%,0.24%,52.38%,10.55%,-9.00%,3.04%,-2.80%
2015-2019,XLE,-2.5%,44,-0.11%,0.00%,-0.12%,52.27%,6.22%,-5.37%,1.48%,-1.86%,0.16%,0.01%,0.15%,59.09%,6.99%,-10.74%,2.54%,-3.28%,0.63%,0.02%,0.61%,54.55%,10.55%,-9.00%,3.91%,-3.31%
2015-2019,XLE,-3.0%,30,0.11%,0.00%,0.10%,60.00%,6.22%,-5.37%,1.59%,-2.12%,0.85%,0.01%,0.84%,66.67%,6.99%,-6.32%,2.86%,-3.18%,1.29%,0.02%,1.27%,60.00%,10.55%,-7.99%,4.52%,-3.56%
2015-2019,XLV,-1.0%,145,0.13%,0.04%,0.09%,57.24%,4.36%,-4.43%,1.07%,-1.13%,0.29%,0.13%,0.16%,57.93%,5.65%,-8.11%,1.71%,-1.66%,0.56%,0.21%,0.35%,66.90%,6.50%,-8.12%,1.88%,-2.10%
2015-2019,XLV,-1.5%,69,0.05%,0.04%,0.01%,55.07%,4.36%,-4.25%,1.21%,-1.37%,0.31%,0.13%,0.18%,57.97%,5.64%,-8.11%,1.90%,-1.88%,0.64%,0.21%,0.43%,66.67%,6.50%,-7.02%,2.11%,-2.30%
2015-2019,XLV,-2.0%,38,0.15%,0.04%,0.11%,57.89%,4.36%,-4.25%,1.53%,-1.74%,0.54%,0.13%,0.41%,63.16%,5.64%,-8.11%,2.20%,-2.32%,0.96%,0.21%,0.75%,68.42%,6.50%,-6.64%,2.33%,-2.01%
2015-2019,XLV,-2.5%,18,-0.18%,0.04%,-0.22%,55.56%,2.68%,-4.25%,1.19%,-1.89%,0.90%,0.13%,0.77%,66.67%,5.19%,-4.11%,2.27%,-1.86%,1.44%,0.21%,1.23%,77.78%,6.50%,-6.64%,2.49%,-2.21%
2015-2019,XLV,-3.0%,7,-0.36%,0.04%,-0.40%,57.14%,1.42%,-4.25%,1.19%,-2.42%,0.61%,0.13%,0.48%,57.14%,5.19%,-4.11%,3.02%,-2.61%,1.26%,0.21%,1.05%,71.43%,6.50%,-6.64%,3.14%,-3.42%
