Period,Ticker,Category,Universe,Drop threshold,Number of big drop days,Average 1-day return,Benchmark average 1-day return,Edge vs benchmark 1-day return,1-day win rate,Best 1-day return,Worst 1-day return,Average 1-day winning trade,Average 1-day losing trade,Average 3-day return,Benchmark average 3-day return,Edge vs benchmark 3-day return,3-day win rate,Best 3-day return,Worst 3-day return,Average 3-day winning trade,Average 3-day losing trade,Average 5-day return,Benchmark average 5-day return,Edge vs benchmark 5-day return,5-day win rate,Best 5-day return,Worst 5-day return,Average 5-day winning trade,Average 5-day losing trade
2020-2024,SPY,Broad Index,Core,-1.0%,174,0.07%,0.06%,0.01%,48.28%,9.06%,-9.57%,1.45%,-1.22%,0.22%,0.18%,0.04%,56.90%,17.16%,-12.58%,2.29%,-2.59%,0.39%,0.31%,0.08%,57.47%,17.36%,-17.97%,2.97%,-3.21%
2020-2024,SPY,Broad Index,Core,-1.5%,96,0.17%,0.06%,0.11%,50.00%,9.06%,-9.57%,1.64%,-1.30%,0.20%,0.18%,0.02%,58.33%,17.16%,-12.58%,2.45%,-2.94%,0.18%,0.31%,-0.13%,56.25%,17.36%,-17.97%,3.04%,-3.50%
2020-2024,SPY,Broad Index,Core,-2.0%,58,0.52%,0.06%,0.46%,55.17%,9.06%,-9.57%,2.03%,-1.34%,0.09%,0.18%,-0.10%,58.62%,17.16%,-12.58%,2.72%,-3.64%,0.11%,0.31%,-0.20%,53.45%,17.36%,-17.97%,3.72%,-4.03%
2020-2024,SPY,Broad Index,Core,-2.5%,37,0.60%,0.06%,0.54%,56.76%,9.06%,-9.57%,2.34%,-1.69%,-0.27%,0.18%,-0.45%,51.35%,17.16%,-12.58%,3.19%,-3.91%,-0.29%,0.31%,-0.60%,48.65%,17.36%,-17.97%,4.50%,-4.82%
2020-2024,SPY,Broad Index,Core,-3.0%,23,0.30%,0.06%,0.24%,52.17%,8.55%,-9.57%,2.29%,-1.87%,-1.03%,0.18%,-1.22%,47.83%,7.86%,-12.58%,3.21%,-4.93%,-1.07%,0.31%,-1.38%,47.83%,11.33%,-17.97%,4.54%,-6.20%
2020-2024,QQQ,Broad Index,Core,-1.0%,247,0.16%,0.08%,0.07%,54.66%,8.47%,-9.17%,1.47%,-1.43%,0.34%,0.25%,0.09%,55.47%,9.38%,-13.28%,2.52%,-2.43%,0.53%,0.42%,0.12%,58.30%,10.72%,-16.20%,3.16%,-3.21%
2020-2024,QQQ,Broad Index,Core,-1.5%,158,0.26%,0.08%,0.18%,57.59%,8.47%,-9.17%,1.53%,-1.46%,0.50%,0.25%,0.25%,59.49%,8.40%,-13.28%,2.65%,-2.65%,0.62%,0.42%,0.20%,58.23%,10.17%,-16.20%,3.56%,-3.47%
2020-2024,QQQ,Broad Index,Core,-2.0%,105,0.26%,0.08%,0.18%,56.19%,8.47%,-9.17%,1.57%,-1.41%,0.34%,0.25%,0.09%,57.14%,8.40%,-13.28%,2.75%,-2.88%,0.55%,0.42%,0.13%,59.05%,10.02%,-16.20%,3.44%,-3.62%
2020-2024,QQQ,Broad Index,Core,-2.5%,69,0.44%,0.08%,0.36%,57.97%,8.47%,-9.17%,1.75%,-1.36%,0.13%,0.25%,-0.13%,55.07%,7.77%,-13.28%,2.83%,-3.19%,0.18%,0.42%,-0.24%,56.52%,10.02%,-16.20%,3.40%,-4.00%
2020-2024,QQQ,Broad Index,Core,-3.0%,42,0.55%,0.08%,0.46%,59.52%,8.47%,-9.17%,2.07%,-1.69%,-0.07%,0.25%,-0.32%,50.00%,7.77%,-13.28%,3.00%,-3.14%,-0.22%,0.42%,-0.64%,52.38%,10.02%,-16.20%,3.37%,-4.17%
