Period,Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2010-2024,SPY,-1.0,1,417,0.11,0.06,0.05,54.2,9.06,-9.57,1.16,-1.13,0.046
2010-2024,SPY,-1.0,3,417,0.36,0.17,0.19,58.99,17.16,-12.58,2.06,-2.11,0.091
2010-2024,SPY,-1.0,5,417,0.54,0.28,0.26,60.91,17.36,-17.97,2.57,-2.66,0.096
2010-2024,SPY,-1.5,1,225,0.16,0.06,0.11,55.11,9.06,-9.57,1.3,-1.23,0.088
2010-2024,SPY,-1.5,3,225,0.35,0.17,0.18,58.22,17.16,-12.58,2.23,-2.28,0.077
2010-2024,SPY,-1.5,5,225,0.49,0.28,0.2,58.67,17.36,-17.97,2.81,-2.81,0.073
2010-2024,SPY,-2.0,1,126,0.33,0.06,0.27,56.35,9.06,-9.57,1.67,-1.41,0.191
2010-2024,SPY,-2.0,3,126,0.4,0.17,0.23,59.52,17.16,-12.58,2.5,-2.68,0.087
2010-2024,SPY,-2.0,5,126,0.78,0.28,0.5,60.32,17.36,-17.97,3.25,-2.98,0.168
2010-2024,SPY,-2.5,1,72,0.51,0.06,0.45,58.33,9.06,-9.57,1.98,-1.55,0.289
2010-2024,SPY,-2.5,3,72,0.55,0.17,0.38,59.72,17.16,-12.58,2.99,-3.08,0.122
2010-2024,SPY,-2.5,5,72,1.03,0.28,0.74,66.67,17.36,-17.97,3.72,-4.36,0.171
2010-2024,SPY,-3.0,1,43,0.25,0.06,0.2,51.16,8.55,-9.57,2.11,-1.69,0.117
2010-2024,SPY,-3.0,3,43,-0.01,0.17,-0.18,53.49,7.86,-12.58,3.13,-3.62,-0.049
2010-2024,SPY,-3.0,5,43,0.5,0.28,0.21,67.44,11.33,-17.97,3.45,-5.62,0.038
2010-2024,QQQ,-1.0,1,558,0.15,0.08,0.08,54.66,8.47,-9.17,1.31,-1.24,0.061
2010-2024,QQQ,-1.0,3,558,0.35,0.23,0.13,55.02,9.38,-13.28,2.27,-2.01,0.064
2010-2024,QQQ,-1.0,5,558,0.65,0.38,0.28,61.47,10.72,-16.2,2.71,-2.66,0.104
2010-2024,QQQ,-1.5,1,342,0.21,0.08,0.13,56.43,8.47,-9.17,1.35,-1.26,0.106
2010-2024,QQQ,-1.5,3,342,0.51,0.23,0.29,57.6,8.4,-13.28,2.49,-2.17,0.132
2010-2024,QQQ,-1.5,5,342,0.69,0.38,0.31,59.65,10.17,-16.2,3.09,-2.87,0.109
2010-2024,QQQ,-2.0,1,204,0.25,0.08,0.17,55.88,8.47,-9.17,1.49,-1.33,0.128
2010-2024,QQQ,-2.0,3,204,0.55,0.23,0.32,59.31,8.4,-13.28,2.65,-2.52,0.127
2010-2024,QQQ,-2.0,5,204,0.78,0.38,0.41,60.29,10.02,-16.2,3.22,-2.92,0.14
2010-2024,QQQ,-2.5,1,128,0.32,0.08,0.24,55.47,8.47,-9.17,1.69,-1.4,0.172
2010-2024,QQQ,-2.5,3,128,0.53,0.23,0.3,60.94,7.77,-13.28,2.66,-2.81,0.108
2010-2024,QQQ,-2.5,5,128,0.88,0.38,0.5,63.28,10.02,-16.2,3.22,-3.17,0.158
2010-2024,QQQ,-3.0,1,76,0.42,0.08,0.35,55.26,8.47,-9.17,2.05,-1.58,0.221
2010-2024,QQQ,-3.0,3,76,0.43,0.23,0.21,56.58,7.77,-13.28,2.89,-2.77,0.075
2010-2024,QQQ,-3.0,5,76,0.77,0.38,0.39,63.16,10.02,-16.2,3.13,-3.28,0.12
2010-2024,IWM,-1.0,1,678,0.04,0.05,-0.01,52.21,9.15,-11.05,1.27,-1.3,-0.007
2010-2024,IWM,-1.0,3,678,0.25,0.14,0.11,54.42,17.38,-17.68,2.33,-2.24,0.048
2010-2024,IWM,-1.0,5,678,0.48,0.24,0.24,57.52,15.6,-24.0,2.93,-2.84,0.086
2010-2024,IWM,-1.5,1,389,0.05,0.05,0.01,52.96,7.66,-11.05,1.38,-1.44,0.004
2010-2024,IWM,-1.5,3,389,0.21,0.14,0.07,55.78,12.86,-17.68,2.51,-2.69,0.025
2010-2024,IWM,-1.5,5,389,0.54,0.24,0.3,59.13,15.05,-24.0,3.18,-3.28,0.091
2010-2024,IWM,-2.0,1,214,0.13,0.05,0.08,52.34,7.66,-11.05,1.62,-1.51,0.055
2010-2024,IWM,-2.0,3,214,0.28,0.14,0.13,54.67,12.86,-17.68,2.88,-2.86,0.047
