Period,Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2020-2024,SPY,Broad Index,Core,-1.0,1,174,0.07,0.06,0.01,48.28,9.06,-9.57,1.45,-1.22,0.008
2020-2024,SPY,Broad Index,Core,-1.0,3,174,0.22,0.18,0.04,56.9,17.16,-12.58,2.29,-2.59,0.014
2020-2024,SPY,Broad Index,Core,-1.0,5,174,0.39,0.31,0.08,57.47,17.36,-17.97,2.97,-3.21,0.024
2020-2024,SPY,Broad Index,Core,-1.5,1,96,0.17,0.06,0.11,50.0,9.06,-9.57,1.64,-1.3,0.082
2020-2024,SPY,Broad Index,Core,-1.5,3,96,0.2,0.18,0.02,58.33,17.16,-12.58,2.45,-2.94,0.006
2020-2024,SPY,Broad Index,Core,-1.5,5,96,0.18,0.31,-0.13,56.25,17.36,-17.97,3.04,-3.5,-0.038
2020-2024,SPY,Broad Index,Core,-2.0,1,58,0.52,0.06,0.46,55.17,9.06,-9.57,2.03,-1.34,0.34
2020-2024,SPY,Broad Index,Core,-2.0,3,58,0.09,0.18,-0.1,58.62,17.16,-12.58,2.72,-3.64,-0.026
2020-2024,SPY,Broad Index,Core,-2.0,5,58,0.11,0.31,-0.2,53.45,17.36,-17.97,3.72,-4.03,-0.049
2020-2024,SPY,Broad Index,Core,-2.5,1,37,0.6,0.06,0.54,56.76,9.06,-9.57,2.34,-1.69,0.319
2020-2024,SPY,Broad Index,Core,-2.5,3,37,-0.27,0.18,-0.45,51.35,17.16,-12.58,3.19,-3.91,-0.115
2020-2024,SPY,Broad Index,Core,-2.5,5,37,-0.29,0.31,-0.6,48.65,17.36,-17.97,4.5,-4.82,-0.124
2020-2024,SPY,Broad Index,Core,-3.0,1,23,0.3,0.06,0.24,52.17,8.55,-9.57,2.29,-1.87,0.128
2020-2024,SPY,Broad Index,Core,-3.0,3,23,-1.03,0.18,-1.22,47.83,7.86,-12.58,3.21,-4.93,-0.247
2020-2024,SPY,Broad Index,Core,-3.0,5,23,-1.07,0.31,-1.38,47.83,11.33,-17.97,4.54,-6.2,-0.222
2020-2024,QQQ,Broad Index,Core,-1.0,1,247,0.16,0.08,0.07,54.66,8.47,-9.17,1.47,-1.43,0.051
2020-2024,QQQ,Broad Index,Core,-1.0,3,247,0.34,0.25,0.09,55.47,9.38,-13.28,2.52,-2.43,0.036
2020-2024,QQQ,Broad Index,Core,-1.0,5,247,0.53,0.42,0.12,58.3,10.72,-16.2,3.16,-3.21,0.036
2020-2024,QQQ,Broad Index,Core,-1.5,1,158,0.26,0.08,0.18,57.59,8.47,-9.17,1.53,-1.46,0.123
2020-2024,QQQ,Broad Index,Core,-1.5,3,158,0.5,0.25,0.25,59.49,8.4,-13.28,2.65,-2.65,0.095
2020-2024,QQQ,Broad Index,Core,-1.5,5,158,0.62,0.42,0.2,58.23,10.17,-16.2,3.56,-3.47,0.059
2020-2024,QQQ,Broad Index,Core,-2.0,1,105,0.26,0.08,0.18,56.19,8.47,-9.17,1.57,-1.41,0.127
2020-2024,QQQ,Broad Index,Core,-2.0,3,105,0.34,0.25,0.09,57.14,8.4,-13.28,2.75,-2.88,0.03
2020-2024,QQQ,Broad Index,Core,-2.0,5,105,0.55,0.42,0.13,59.05,10.02,-16.2,3.44,-3.62,0.036
2020-2024,QQQ,Broad Index,Core,-2.5,1,69,0.44,0.08,0.36,57.97,8.47,-9.17,1.75,-1.36,0.263
2020-2024,QQQ,Broad Index,Core,-2.5,3,69,0.13,0.25,-0.13,55.07,7.77,-13.28,2.83,-3.19,-0.039
