Period,Transaction cost (%),Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2015-2019,0.0,QQQ,Broad Index,Core,-2.5,5,33,1.92,0.34,1.58,72.73,7.98,-2.57,3.03,-1.04,1.525
2015-2019,0.0,XLK,Sector,Core,-2.5,5,30,1.88,0.38,1.5,73.33,8.5,-4.44,3.08,-1.44,1.042
2015-2019,0.0,SPY,Broad Index,Core,-2.0,5,30,1.45,0.24,1.21,70.0,6.76,-5.06,2.69,-1.45,0.832
2015-2019,0.0,SMH,Semiconductors,Expanded Addition,-3.0,5,33,1.65,0.47,1.18,60.61,9.9,-3.89,3.79,-1.65,0.711
2015-2019,0.0,XLK,Sector,Core,-2.5,3,30,1.17,0.23,0.94,60.0,6.63,-2.69,2.88,-1.4,0.672
2015-2019,0.0,XLY,Sector,Expanded Addition,-2.0,5,38,1.38,0.28,1.1,71.05,7.05,-7.41,2.75,-1.98,0.558
2015-2019,0.0,SMH,Semiconductors,Expanded Addition,-3.0,1,33,0.78,0.09,0.68,60.61,4.66,-3.08,2.1,-1.27,0.538
2015-2019,0.0,XLF,Sector,Core,-2.5,5,27,1.26,0.24,1.02,70.37,6.85,-5.01,2.6,-1.93,0.527
2015-2019,0.0,IGV,Software,Expanded Addition,-3.0,5,29,2.12,0.42,1.71,75.86,9.67,-9.21,3.89,-3.44,0.497
2015-2019,0.0,XLB,Sector,Expanded Addition,-2.5,5,25,1.32,0.17,1.15,60.0,8.96,-7.38,3.83,-2.46,0.467
2015-2019,0.0,XLB,Sector,Expanded Addition,-2.0,5,43,1.14,0.17,0.97,58.14,8.96,-7.38,3.51,-2.16,0.451
2015-2019,0.0,XLK,Sector,Core,-2.0,5,50,1.33,0.38,0.95,70.0,8.5,-8.43,2.89,-2.3,0.413
2015-2019,0.0,QQQ,Broad Index,Core,-2.5,3,33,1.02,0.2,0.82,66.67,7.29,-8.4,2.52,-1.98,0.412
2015-2019,0.0,XLI,Sector,Expanded Addition,-2.0,5,38,0.94,0.22,0.72,60.53,8.24,-5.36,2.7,-1.76,0.409
2015-2019,0.0,SLV,Commodities,Expanded Addition,-2.5,1,36,0.38,0.02,0.37,61.11,2.68,-3.1,1.21,-0.92,0.402
2015-2019,0.0,XLY,Sector,Expanded Addition,-2.0,3,38,0.84,0.17,0.67,60.53,6.81,-7.45,2.51,-1.73,0.388
2015-2019,0.0,SPY,Broad Index,Core,-2.0,3,30,0.84,0.14,0.7,60.0,5.72,-8.19,2.61,-1.81,0.384
2015-2019,0.0,XLK,Sector,Core,-2.0,3,50,0.89,0.23,0.66,60.0,6.63,-8.34,2.63,-1.72,0.384
2015-2019,0.0,SPY,Broad Index,Core,-1.5,5,56,0.99,0.24,0.75,67.86,6.76,-7.7,2.39,-1.99,0.376
2015-2019,0.0,XLV,Sector,Core,-2.0,5,38,0.96,0.21,0.75,68.42,6.5,-6.64,2.33,-2.01,0.371
2015-2019,0.0,XLF,Sector,Core,-2.5,3,27,0.84,0.15,0.69,59.26,7.32,-4.62,2.71,-1.89,0.367
