Period,Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2010-2014,XLY,Sector,Expanded Addition,-2.5,5,27,2.44,0.41,2.04,77.78,11.05,-6.09,3.72,-2.01,1.013
2010-2014,XLF,Sector,Core,-3.0,5,29,2.13,0.27,1.86,65.52,10.28,-5.99,4.26,-1.91,0.969
2010-2014,XLF,Sector,Core,-3.0,3,29,1.56,0.17,1.39,65.52,8.78,-4.31,3.2,-1.54,0.903
2010-2014,XLP,Sector,Expanded Addition,-1.5,5,31,1.27,0.31,0.96,74.19,6.63,-2.34,2.11,-1.16,0.826
2010-2014,DIA,Broad Index,Core,-2.0,5,31,1.79,0.28,1.51,74.19,7.38,-5.14,3.19,-2.25,0.668
2010-2014,XLI,Sector,Expanded Addition,-2.5,5,31,2.1,0.35,1.75,70.97,10.56,-6.86,4.03,-2.63,0.665
2010-2014,XLE,Sector,Core,-3.0,5,30,2.51,0.2,2.31,83.33,12.63,-5.06,3.73,-3.61,0.641
2010-2014,HYG,Bonds,Expanded Addition,-1.0,5,41,0.86,0.15,0.71,60.98,5.11,-4.33,2.15,-1.15,0.622
2010-2014,IWM,Broad Index,Core,-3.0,5,28,2.05,0.32,1.73,67.86,12.1,-9.5,4.48,-3.08,0.562
2010-2014,SPY,Broad Index,Core,-2.0,5,38,1.28,0.3,0.97,63.16,8.78,-6.38,3.14,-1.92,0.508
2010-2014,IGV,Software,Expanded Addition,-2.5,5,35,1.72,0.32,1.4,68.57,11.06,-7.84,3.83,-2.88,0.487
2010-2014,DIA,Broad Index,Core,-2.0,3,31,0.84,0.17,0.68,64.52,7.13,-3.55,2.08,-1.41,0.478
2010-2014,XLY,Sector,Expanded Addition,-2.5,3,27,1.3,0.25,1.05,70.37,7.51,-6.67,2.78,-2.24,0.47
2010-2014,TLT,Bonds,Expanded Addition,-1.5,5,63,0.93,0.22,0.71,65.08,10.49,-3.03,2.25,-1.52,0.468
2010-2014,DIA,Broad Index,Core,-1.5,5,58,1.04,0.28,0.76,60.34,7.38,-5.14,2.82,-1.67,0.458
2010-2014,XLB,Sector,Expanded Addition,-2.5,5,45,1.66,0.23,1.43,66.67,13.67,-8.01,4.07,-3.16,0.453
2010-2014,XLF,Sector,Core,-2.5,5,43,1.33,0.27,1.06,55.81,10.28,-8.71,4.27,-2.38,0.445
2010-2014,XLU,Sector,Expanded Addition,-1.5,5,51,1.05,0.27,0.77,64.71,8.54,-4.62,2.4,-1.74,0.445
2010-2014,XLP,Sector,Expanded Addition,-1.5,3,31,0.64,0.19,0.45,64.52,5.68,-2.49,1.58,-1.07,0.424
2010-2014,TLT,Bonds,Expanded Addition,-1.5,3,63,0.62,0.13,0.49,58.73,8.58,-3.14,1.86,-1.15,0.422
2010-2014,QQQ,Broad Index,Core,-2.5,5,26,1.4,0.38,1.02,69.23,9.39,-5.76,3.1,-2.45,0.416
2010-2014,IWM,Broad Index,Core,-2.5,5,44,1.51,0.32,1.19,65.91,12.1,-9.5,3.85,-3.02,0.393
2010-2014,XLE,Sector,Core,-3.0,3,30,1.01,0.12,0.88,56.67,9.54,-5.65,3.55,-2.32,0.382
2010-2014,XLP,Sector,Expanded Addition,-1.0,5,82,0.75,0.31,0.44,62.2,6.63,-2.86,1.91,-1.22,0.36
